Attrition_Flag,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
1,1,1,6,2,2,1,3,2,2,2.357,1719,1.7,0.793
1,1,3,2,2,4,1,4,3,3,0.787,1217,0.8,0.074
1,1,1,3,1,4,1,5,1,1,0.624,1140,0.6,0.259
0,0,1,4,2,1,1,2,3,1,0.997,705,0.9,0.562
1,0,0,2,2,1,1,3,4,2,1.224,1946,1.923,0.687
0,1,2,4,2,5,1,1,3,3,1.041,602,0.364,0.0
1,0,3,4,1,1,1,2,2,0,0.75,1295,0.6,0.843
1,1,2,1,2,2,1,4,2,3,1.107,1424,1.417,0.422
1,1,2,2,1,3,1,4,4,3,0.69,1168,1.25,0.525
0,1,2,4,2,3,2,2,4,4,0.763,691,0.5,0.0
1,1,1,2,3,3,1,5,3,3,0.944,1316,1.154,0.211
1,1,4,5,1,5,1,2,4,2,0.997,1276,0.733,0.088
1,1,2,2,1,5,1,4,2,2,0.989,1289,0.917,0.111
1,1,4,1,1,4,2,4,1,4,0.592,1293,0.6,0.044
1,1,2,3,2,3,1,5,3,3,0.62,1353,0.667,0.276
1,0,2,1,1,1,1,6,3,3,1.004,1132,0.556,0.704
1,1,2,4,2,3,1,2,2,2,1.715,1670,2.4,0.656
1,1,2,6,2,4,1,6,2,2,1.072,837,2.0,0.053
1,1,4,4,1,5,1,3,2,3,1.266,1550,1.05,0.051
1,0,2,4,2,1,1,5,3,3,0.758,1540,0.286,0.467
1,1,5,1,2,4,1,6,2,2,0.414,1394,0.522,0.067
1,1,1,3,1,3,1,3,3,3,1.312,1341,1.182,0.079
1,1,2,4,1,4,1,5,3,2,0.857,1289,0.435,0.287
1,0,4,4,1,1,1,6,4,2,0.475,1112,1.875,0.36
1,0,3,1,1,1,1,4,4,2,0.751,2339,0.966,0.256
1,1,3,4,3,3,1,6,1,2,0.703,1468,0.353,0.719
1,1,2,4,2,4,1,6,3,2,0.85,1334,0.4,0.066
1,1,3,4,2,3,1,4,4,0,1.242,1457,1.412,0.198
1,1,1,4,3,4,1,5,4,2,1.129,1590,2.0,0.035
1,1,2,4,2,3,1,5,3,0,0.921,1531,0.667,0.619
1,1,2,2,1,5,1,4,2,1,0.607,1212,0.722,0.108
1,0,3,1,1,1,1,5,2,3,0.483,1237,0.6,0.0
1,1,3,2,1,3,1,4,3,1,1.932,1413,1.8,0.066
1,0,2,2,1,1,1,3,2,2,0.731,1276,1.333,0.0
1,1,4,2,1,4,1,4,3,0,0.875,1564,2.182,0.062
1,1,1,4,1,2,1,4,4,3,0.579,1465,0.619,0.0
1,1,0,4,1,4,1,5,4,1,0.85,1286,0.933,0.765
1,1,1,4,2,1,1,6,4,3,1.656,1673,0.882,0.524
1,1,3,4,2,2,1,5,4,2,0.597,1313,0.304,0.347
1,1,3,6,2,2,1,5,3,2,1.047,1609,0.68,0.45
1,1,3,3,2,5,1,3,2,0,0.576,1158,0.727,0.232
1,1,3,4,2,5,1,6,2,2,0.562,1259,0.5,0.43
1,0,2,4,1,1,1,3,3,3,0.788,1298,1.5,0.62
1,0,4,5,2,1,1,2,3,3,0.762,1566,0.542,0.111
1,1,2,5,1,5,1,6,1,2,0.828,1022,1.1,0.027
1,1,1,1,2,3,1,5,2,3,1.283,1235,0.667,0.169
1,1,4,4,2,3,1,4,3,0,0.56,1342,0.391,0.223
1,1,4,2,3,3,1,5,1,2,0.588,1251,0.346,0.513
1,0,0,1,2,1,1,2,2,2,1.674,1305,3.0,0.473
1,1,3,4,1,4,1,6,1,0,0.791,1388,1.056,0.095
1,1,1,4,1,4,1,6,2,2,1.826,1235,1.571,0.047
1,1,3,2,1,4,1,4,1,4,1.873,1626,0.786,0.156
1,1,1,6,2,3,1,4,6,3,0.712,1111,1.0,0.05
1,0,2,2,2,1,1,3,2,3,0.816,1553,1.0,0.355
1,1,2,4,1,5,1,3,2,2,1.004,1064,0.625,0.03
1,0,1,6,2,1,1,4,1,0,0.766,1243,0.611,0.615
1,1,1,2,2,4,1,3,2,2,1.584,1659,1.533,0.15
1,0,3,2,1,2,1,4,3,3,0.566,1594,0.382,0.407
1,1,2,3,1,5,2,2,3,2,0.526,1268,0.355,0.044
1,1,3,4,1,3,1,4,2,2,0.676,1304,0.846,0.0
1,1,4,4,1,5,1,6,1,0,0.567,1368,0.364,0.0
0,1,2,4,2,4,1,3,3,2,0.622,720,0.353,0.191
1,1,2,2,1,2,1,3,1,2,0.846,1521,1.417,0.096
1,0,1,4,2,1,1,5,1,2,0.788,978,0.778,0.83
1,1,4,4,2,4,1,3,2,3,1.186,1565,1.545,0.086
1,1,1,4,2,4,1,3,1,4,1.541,1578,0.7,0.678
1,1,2,6,1,1,1,2,1,3,0.541,1493,1.0,0.246
1,0,3,4,1,2,1,3,1,0,0.688,1178,0.929,0.067
1,1,2,2,3,3,1,5,3,2,0.839,991,0.733,0.271
1,1,4,3,3,3,1,5,1,0,1.689,2560,1.211,0.114
1,0,2,5,1,1,1,4,2,2,0.939,1204,0.727,0.406
0,0,5,2,2,1,1,1,3,3,0.654,673,0.8,0.0
1,1,4,4,2,4,1,2,3,2,1.996,1576,1.5,0.169
1,0,1,4,1,1,1,3,2,3,0.397,1217,0.667,0.178
0,1,1,3,1,3,1,2,3,3,0.71,530,1.0,0.0
0,0,4,1,2,1,1,3,2,3,0.76,739,0.455,0.0
1,0,2,4,1,1,1,6,3,2,1.162,1617,2.875,0.941
1,1,2,4,2,5,1,3,2,0,1.317,1592,1.0,0.141
1,1,2,2,2,4,1,4,1,3,0.572,1303,0.625,0.118
1,1,3,2,1,4,1,5,1,0,1.047,1351,0.467,0.0
1,0,1,4,1,2,2,2,2,3,0.868,1298,0.571,0.0
1,1,4,1,1,3,1,6,2,2,0.469,1087,1.231,0.64
1,0,1,3,2,1,1,4,2,3,2.121,1439,1.364,0.432
1,0,4,2,1,2,1,6,1,3,1.373,1716,0.812,0.0
1,1,1,6,2,5,1,6,1,3,0.554,1099,0.8,0.066
1,0,4,4,3,1,1,2,3,1,0.971,1285,0.706,0.612
1,1,0,2,2,4,1,5,2,1,1.009,1651,1.0,0.359
1,1,1,1,2,3,1,3,2,2,1.248,1767,2.167,0.101
1,0,4,1,2,2,1,5,2,3,1.077,1130,1.333,0.512
1,0,3,1,2,1,1,3,1,2,0.682,1645,0.429,0.806
1,0,3,1,2,1,1,4,1,0,0.993,1413,0.706,0.463
1,0,4,1,2,1,1,3,3,3,1.456,1218,2.286,0.77
0,1,5,4,1,4,1,6,3,3,0.658,597,0.7,0.076
1,1,3,2,2,3,1,5,2,2,0.776,2184,0.828,0.0
1,0,1,2,2,1,1,6,3,3,0.567,1388,0.75,0.133
1,1,2,2,2,4,2,3,1,3,0.588,1504,0.789,0.037
1,0,3,2,2,2,1,4,1,2,0.644,1503,0.478,0.146
1,0,5,4,3,2,1,5,2,2,0.791,1105,0.867,0.171
1,1,3,1,2,4,1,2,1,2,1.432,2398,0.88,0.069
1,0,1,4,2,1,1,4,3,2,2.053,1661,1.0,0.837
1,0,2,1,1,2,2,6,3,0,0.706,1421,1.444,0.055
1,0,1,1,2,2,1,4,2,3,0.35,999,0.556,0.294
1,1,2,1,2,2,1,3,2,1,1.791,1387,0.8,0.39
1,1,3,4,2,4,1,6,2,3,0.948,1243,1.0,0.19
1,0,1,1,2,1,1,5,3,0,1.334,1860,1.0,0.692
1,1,1,4,2,3,1,6,2,2,0.747,1502,1.273,0.503
1,1,3,4,2,3,1,2,1,2,0.949,1460,1.083,0.059
1,1,3,5,1,4,1,3,1,0,1.161,1087,0.941,0.074
1,0,0,3,1,1,1,5,1,3,0.782,1226,0.571,0.513
1,0,2,2,2,1,1,5,1,2,0.701,1230,0.867,0.174
1,1,1,4,2,4,1,5,3,1,1.768,1827,3.0,0.135
1,0,3,4,2,1,1,4,2,3,0.896,1771,0.762,0.251
1,1,3,6,2,5,1,3,3,0,1.097,1873,0.529,0.078
1,0,5,5,2,1,1,5,1,1,0.971,1679,0.556,0.463
1,0,3,2,2,1,1,2,1,2,0.819,1002,0.571,0.133
1,1,3,1,2,4,1,3,3,1,1.642,1461,0.75,0.087
0,1,0,2,2,1,1,1,3,2,0.743,760,0.615,0.626
1,1,1,3,2,3,1,4,1,2,1.242,1428,1.444,0.214
1,1,5,4,2,3,1,4,5,3,0.619,1302,0.8,0.176
1,1,3,3,2,4,1,4,5,3,1.509,1483,0.519,0.133
1,1,4,4,2,3,2,3,2,1,0.623,1060,0.5,0.049
1,1,2,4,2,3,2,4,2,2,0.505,1330,0.684,0.043
1,0,1,2,3,1,2,3,2,2,0.504,1229,0.8,0.15
0,0,2,4,2,1,1,2,4,3,0.707,886,0.421,0.0
0,1,2,5,2,3,1,3,3,3,0.688,844,0.5,0.0
1,1,1,4,2,2,1,2,1,2,1.259,1450,0.947,0.679
1,1,2,3,2,5,1,2,3,0,1.071,2311,0.714,0.098
1,0,2,2,2,1,1,4,1,2,0.93,1378,1.167,0.694
1,1,3,4,2,5,1,5,3,3,0.869,1523,1.105,0.199
1,1,3,2,1,3,1,4,2,2,0.615,1374,0.762,0.22
1,1,4,2,2,2,1,5,3,2,0.908,1080,1.333,0.13
1,1,2,3,1,1,1,3,2,3,0.531,1234,0.714,0.76
1,0,4,4,1,1,1,5,2,0,0.638,1600,0.455,0.202
1,1,3,2,2,4,1,6,1,2,0.603,1353,0.737,0.035
1,0,3,1,3,1,2,4,1,3,2.368,1546,1.273,0.165
1,0,1,1,2,1,1,5,1,0,1.008,1448,1.0,0.665
1,1,4,4,1,4,1,5,3,0,0.569,1271,0.714,0.598
1,0,3,4,3,2,1,6,2,3,0.616,1223,0.538,0.539
1,0,2,4,3,1,1,5,2,2,0.859,1117,1.071,0.472
1,1,2,2,1,4,1,4,3,0,0.75,994,0.846,0.064
1,1,3,3,1,3,1,4,1,2,0.81,1468,0.625,0.0
1,0,2,1,3,1,2,6,4,2,0.853,1658,0.357,0.16
1,0,2,4,2,1,1,3,1,3,0.604,1368,0.407,0.42
1,1,2,4,2,5,1,4,3,3,0.613,1218,0.8,0.048
0,0,1,1,2,2,1,4,4,3,0.838,702,0.714,0.713
1,1,5,4,1,5,1,5,2,2,1.073,1310,1.0,0.336
1,1,3,5,3,4,1,6,2,2,0.921,1767,0.923,0.092
1,1,1,3,1,3,1,6,3,3,0.767,933,0.923,0.666
1,1,2,3,2,3,1,4,3,2,1.207,1512,1.455,0.147
0,1,1,1,2,4,1,2,3,3,0.723,829,0.7,0.987
1,1,2,1,2,2,1,5,3,3,0.538,1506,0.941,0.11
1,1,2,2,1,4,1,4,2,2,1.148,2094,0.667,0.28
0,1,5,3,2,2,1,2,2,3,0.734,815,0.615,0.0
0,0,2,3,2,1,1,1,3,2,0.789,510,0.6,0.0
1,1,2,4,2,4,1,6,2,3,0.939,1377,0.69,0.65
1,1,3,1,1,4,1,2,2,2,0.912,1193,0.65,0.355
0,1,4,2,2,5,1,3,3,3,0.98,701,0.727,0.0
1,1,3,4,2,3,1,4,1,2,1.018,1770,0.923,0.072
1,1,2,6,1,3,1,5,1,2,0.435,1409,0.167,0.327
1,1,3,5,1,5,1,4,1,2,0.868,1354,0.647,0.459
1,1,0,2,2,2,1,5,3,2,1.363,1765,1.615,0.252
0,1,0,2,1,2,1,2,4,3,0.616,687,0.545,0.291
1,1,0,2,2,1,1,3,2,3,0.581,1227,0.875,0.46
1,0,2,2,2,1,1,4,3,3,0.969,1737,1.6,0.489
1,1,1,1,1,5,1,4,2,2,0.609,1435,0.462,0.482
1,0,2,1,1,2,1,2,3,0,0.456,1321,0.75,0.24
1,1,1,4,2,2,1,6,3,2,0.73,1479,0.611,0.197
0,0,0,5,2,2,1,1,4,1,1.038,689,0.353,0.0
1,1,2,1,2,2,1,5,1,3,0.707,1258,1.3,0.152
1,0,2,4,2,1,1,5,2,2,0.708,1339,0.538,0.317
0,0,0,2,2,2,1,1,3,3,1.021,960,0.385,0.0
1,1,5,4,2,3,1,3,3,3,0.923,1119,3.5,0.626
1,1,2,1,3,3,1,5,3,0,0.795,1382,1.067,0.0
1,1,0,1,2,2,1,6,2,2,0.814,1232,0.684,0.0
1,1,4,4,1,4,1,4,3,0,0.838,1542,1.286,0.162
1,1,3,2,1,4,1,4,3,3,0.826,1094,0.524,0.196
1,0,4,1,2,1,1,2,2,2,0.759,1217,1.143,0.734
0,1,2,4,1,3,1,1,1,2,0.898,744,1.0,0.0
1,0,4,1,2,1,1,4,2,0,0.84,1614,0.737,0.446
1,1,4,1,3,4,1,5,2,2,1.302,1747,1.214,0.14
1,0,4,2,2,2,1,3,1,3,0.587,1144,1.0,0.262
1,1,1,4,1,4,2,4,3,2,1.117,1575,2.4,0.042
1,0,1,1,2,2,1,5,2,3,1.434,1706,1.625,0.308
1,1,0,4,2,2,1,3,1,2,2.145,2434,1.538,0.68
1,1,0,1,2,4,1,2,1,0,1.015,1876,0.783,0.238
0,1,2,2,2,5,1,3,3,3,0.953,1000,0.786,0.0
1,0,4,4,1,1,1,6,3,2,0.771,1139,0.765,0.753
1,1,3,4,1,3,1,2,3,2,0.955,1273,0.588,0.117
1,1,2,6,2,3,1,3,4,3,0.631,1579,1.118,0.102
1,1,2,3,1,3,1,6,3,0,1.178,1749,2.083,0.078
1,1,0,2,2,2,1,5,1,3,1.859,1424,1.417,0.255
1,1,2,2,2,2,1,5,3,2,0.799,2011,0.783,0.716
1,0,0,2,2,2,1,5,2,3,0.728,1208,0.632,0.609
1,1,3,2,1,2,1,2,3,2,0.612,1319,0.368,0.15
1,1,0,2,1,5,2,5,2,3,0.804,949,2.0,0.154
1,1,2,1,2,3,1,5,3,2,0.869,1338,1.308,0.605
1,1,3,5,3,3,1,6,3,0,0.657,1554,0.444,0.275
1,1,4,3,2,3,3,2,2,3,0.722,1350,0.455,0.06
1,1,3,1,2,3,1,5,2,2,0.963,1694,0.76,0.162
1,1,2,4,2,5,1,3,3,0,0.816,1678,0.538,0.07
1,1,4,4,1,4,1,6,3,2,0.776,1222,0.438,0.094
1,1,2,4,1,5,1,2,3,2,0.788,1536,0.423,0.0
1,0,4,1,2,1,1,2,1,1,0.697,1400,2.1,0.256
1,1,2,2,2,2,1,2,2,2,0.885,1050,1.154,0.186
1,1,0,4,2,3,1,3,2,0,0.984,1389,1.2,0.648
1,1,2,1,1,3,1,5,2,2,0.656,1184,0.611,0.0
1,0,3,4,2,1,1,5,6,2,1.32,2093,1.0,0.806
0,1,3,4,2,5,1,2,3,3,0.798,678,0.833,0.167
1,1,3,2,2,3,1,5,3,2,0.374,1219,0.5,0.412
1,0,4,2,2,1,1,4,2,0,0.541,1025,0.647,0.732
1,1,2,2,2,4,1,5,5,2,0.645,1165,0.833,0.123
1,1,0,4,2,2,1,4,2,1,1.012,2133,0.719,0.221
1,1,3,4,1,4,2,3,2,3,0.448,1122,0.182,0.0
1,0,2,1,3,1,1,4,1,2,0.549,1083,1.75,0.2
1,1,2,2,1,4,2,3,3,3,1.32,1234,1.875,0.063
1,1,3,2,2,3,1,4,3,3,0.952,1843,0.944,0.771
1,1,1,1,2,5,1,3,2,2,0.685,1747,0.581,0.224
1,0,2,5,2,1,1,3,3,2,0.617,1166,1.444,0.795
1,0,3,4,1,2,1,5,2,0,0.581,1285,0.333,0.316
1,0,1,4,1,1,1,4,1,3,0.816,1142,1.0,0.447
1,0,4,1,1,1,1,4,1,0,0.574,1190,0.643,0.625
1,0,1,4,1,1,1,3,1,2,1.051,1052,0.714,0.514
1,1,5,4,3,5,2,5,3,3,0.771,1628,0.727,0.049
1,1,1,2,2,5,1,6,3,2,0.986,1740,0.882,0.557
1,0,1,4,2,1,1,4,3,3,1.707,1378,0.812,0.955
1,0,3,2,2,1,1,3,2,1,1.315,1389,0.6,0.846
1,1,1,2,2,1,1,5,3,3,1.031,1365,1.0,0.756
1,0,4,4,1,1,1,5,1,2,1.027,1715,0.87,0.31
1,1,2,1,2,3,1,6,3,0,0.827,1582,0.786,0.2
1,1,3,4,1,4,1,6,3,3,0.62,1220,0.692,0.62
0,1,1,1,2,2,1,2,4,3,0.819,715,0.182,0.373
1,1,0,2,2,4,1,3,1,2,1.223,2552,1.227,0.105
1,1,1,4,2,5,1,3,2,3,0.507,1106,0.938,0.0
1,0,3,2,2,1,1,6,1,0,1.269,1731,1.833,0.935
1,1,2,2,1,3,1,5,3,2,0.541,1435,0.6,0.155
1,1,5,2,2,3,1,5,3,3,0.994,1882,0.652,0.111
1,0,0,1,2,1,1,5,1,2,1.227,2058,0.789,0.435
1,1,2,4,2,1,1,4,4,2,1.019,1658,1.462,0.932
1,0,3,2,3,1,1,3,1,3,1.049,1334,0.6,0.829
1,1,3,4,2,4,1,5,3,2,0.751,1441,0.812,0.463
1,0,2,4,1,2,1,6,2,0,0.939,1371,1.167,0.0
1,1,1,1,1,2,1,6,3,2,0.683,1991,0.583,0.953
1,1,4,4,1,3,1,6,2,3,1.166,1278,1.444,0.07
1,1,1,1,2,3,1,3,2,0,0.797,1734,1.167,0.188
1,1,3,1,1,3,1,3,2,2,0.703,1330,1.125,0.135
1,1,2,1,2,4,1,6,3,2,0.837,1672,0.524,0.063
1,0,1,1,2,1,1,6,3,4,1.068,1439,1.05,0.0
1,1,2,4,1,4,1,5,1,0,1.284,1558,0.938,0.82
1,1,4,2,1,5,1,6,3,3,0.788,1795,0.679,0.066
1,0,2,4,2,2,1,6,2,3,0.431,893,0.375,0.616
1,0,2,4,2,1,1,6,3,2,0.844,1099,0.588,0.0
1,0,4,4,2,2,1,6,3,3,0.999,1893,2.75,0.595
1,0,2,4,2,1,1,5,2,2,1.052,1151,1.385,0.521
1,0,2,4,1,1,1,5,3,0,0.93,1519,0.938,0.268
1,1,2,2,2,5,1,5,3,2,0.572,1245,0.786,0.09
1,1,0,1,2,3,1,3,3,2,0.685,1102,0.286,0.035
1,0,4,4,1,1,1,6,2,3,0.974,1060,1.308,0.405
1,0,4,2,2,1,1,3,5,3,0.817,1459,1.188,0.885
1,0,1,2,1,1,1,4,2,0,0.886,1456,0.444,0.546
1,1,4,2,2,2,1,6,3,3,0.828,1353,1.182,0.569
1,1,3,4,2,2,1,5,3,2,0.751,1173,0.391,0.648
1,1,1,1,2,4,1,5,2,3,1.174,1746,1.0,0.08
1,0,3,2,1,1,3,3,2,3,0.556,1279,0.867,0.047
1,0,2,4,2,1,2,4,2,0,0.484,1307,0.261,0.183
1,1,4,4,2,4,1,6,2,3,0.711,1473,1.176,0.639
1,1,2,2,2,3,1,4,3,3,0.996,1421,1.3,0.329
1,0,1,2,2,1,1,6,3,2,0.728,1272,1.312,0.678
1,1,2,4,2,4,1,3,2,3,0.616,1409,0.619,0.162
1,1,1,4,2,3,1,3,3,2,0.578,1275,0.667,0.161
1,0,2,4,2,1,1,3,2,3,0.979,1702,0.947,0.73
1,1,2,4,2,3,1,6,2,2,0.644,1256,1.0,0.183
1,0,3,3,1,1,1,6,1,2,0.944,3178,0.656,0.512
1,1,3,2,2,3,1,5,1,3,1.521,1626,1.636,0.134
1,0,1,5,2,2,1,5,3,3,1.052,1960,0.727,0.692
1,1,3,1,1,2,1,3,1,0,1.087,1154,1.235,0.162
1,1,4,4,2,3,2,5,1,2,0.637,1629,0.727,0.03
1,1,0,2,2,5,1,5,3,3,1.095,1743,0.929,0.587
1,1,1,1,1,4,1,5,2,2,0.791,1139,0.444,0.478
0,1,2,1,2,5,1,3,3,3,1.045,683,0.7,0.361
1,1,3,3,2,4,1,3,3,0,0.511,1159,0.684,0.0
1,1,2,2,2,5,1,6,5,2,0.648,1205,0.867,0.07
1,1,1,4,1,2,1,5,3,0,0.83,1409,0.37,0.312
0,1,3,3,2,3,1,3,3,3,0.742,1000,0.059,0.0
1,1,4,3,2,5,2,5,2,1,0.869,1366,0.786,0.036
1,0,2,4,1,1,1,5,3,2,0.466,1161,0.375,0.0
1,1,1,1,2,2,1,4,3,2,0.781,1512,0.407,0.539
1,1,1,4,2,3,1,4,1,1,1.059,1750,1.333,0.36
1,1,3,5,1,3,1,6,3,0,1.139,1170,0.846,0.15
1,1,3,2,2,2,2,3,2,2,1.01,1198,0.833,0.077
1,1,2,5,2,3,1,3,2,0,0.637,1329,0.444,0.243
0,0,2,4,2,1,1,3,3,3,0.835,857,1.118,0.867
1,1,5,1,2,3,1,3,3,2,0.708,1435,1.778,0.168
0,0,3,4,2,1,1,6,3,2,0.727,715,0.818,0.0
1,1,3,4,1,4,1,5,2,2,0.912,1512,0.909,0.103
1,1,0,2,2,3,1,6,2,3,1.636,2399,0.955,0.0
1,1,3,4,1,4,1,6,3,3,0.543,906,1.2,0.19
1,0,4,3,2,1,2,3,2,2,0.75,1052,1.286,0.179
1,1,3,2,2,2,1,4,3,3,0.786,975,0.833,0.145
0,1,2,1,1,3,1,5,3,3,0.842,783,0.667,0.093
1,1,4,2,2,4,1,6,1,0,0.781,990,0.909,0.064
1,1,3,2,2,5,1,4,1,1,0.576,1097,0.5,0.0
1,0,4,4,3,1,1,5,3,1,0.64,1327,0.864,0.087
1,0,2,3,3,1,1,3,3,0,0.876,1058,0.889,0.0
1,1,0,2,3,3,1,6,1,2,0.785,1476,0.9,0.0
1,0,2,4,2,2,1,6,1,3,0.747,1230,0.565,0.706
1,0,4,1,2,2,1,3,1,3,0.909,1581,0.833,0.146
1,1,4,6,3,3,1,4,2,3,0.693,1612,1.438,0.075
1,0,3,4,2,1,1,5,3,2,0.564,1724,0.452,0.309
1,1,3,4,1,2,1,5,2,3,1.205,1784,0.944,0.202
1,0,2,3,2,2,1,6,2,1,1.322,2556,1.13,0.708
1,1,2,4,2,4,1,3,3,0,0.845,1590,0.37,0.0
0,0,1,4,1,1,1,1,2,2,1.005,884,0.727,0.0
0,0,2,1,1,1,1,1,1,1,1.019,973,0.923,0.766
1,0,1,4,1,2,1,3,2,1,0.741,1447,0.875,0.0
1,1,3,2,2,4,1,3,3,2,0.512,1193,0.615,0.039
0,1,2,4,2,3,1,3,3,2,0.967,706,0.5,0.0
1,0,4,2,1,1,1,3,1,0,0.67,1306,0.5,0.0
0,1,2,1,2,4,1,1,3,3,0.659,748,0.429,0.0
1,1,3,1,2,4,1,6,2,2,0.674,1774,2.0,0.053
1,0,2,5,2,1,1,5,1,1,0.863,1209,1.5,0.381
1,0,1,2,2,1,1,6,1,2,0.67,1074,0.632,0.312
1,1,1,4,2,4,1,6,2,2,0.79,1786,0.786,0.046
1,0,0,4,1,1,1,4,1,2,0.74,1456,0.714,0.529
1,1,4,1,1,1,1,3,2,2,0.491,1470,0.235,0.428
1,1,3,4,1,3,1,4,2,3,1.326,1198,1.0,0.036
1,1,2,4,2,3,1,5,2,3,2.271,1606,1.5,0.147
0,0,2,1,1,1,1,2,3,2,1.046,929,0.409,0.85
1,1,1,1,1,3,1,5,3,2,0.675,1199,0.6,0.517
1,0,0,5,2,1,1,4,3,2,1.362,2400,0.622,0.72
1,1,2,1,3,5,1,3,2,2,0.954,1270,0.833,0.056
0,1,2,3,1,5,1,2,2,3,0.885,654,0.4,0.0
1,1,3,4,2,3,1,3,3,0,0.942,1909,0.688,0.548
0,0,3,5,1,1,1,3,3,2,1.035,922,0.562,0.0
1,0,3,2,1,2,1,5,3,2,0.542,1158,0.355,0.436
1,1,1,4,2,2,1,6,6,2,0.89,1323,0.444,0.82
1,1,1,2,1,2,1,4,1,0,0.481,1025,0.667,0.0
1,1,2,1,3,4,1,6,3,3,0.858,1628,1.217,0.046
1,0,1,4,2,2,1,5,2,2,1.04,1377,0.684,0.201
1,1,4,4,1,4,1,4,3,3,0.815,1517,0.65,0.039
1,0,4,5,2,1,1,5,3,2,0.783,1528,1.083,0.523
1,1,1,4,1,4,1,5,1,3,0.715,1329,0.6,0.081
1,0,3,2,3,2,1,4,1,2,0.965,1505,0.737,0.403
1,0,3,4,1,2,1,5,3,2,0.96,1172,0.462,0.171
1,1,2,4,2,4,1,3,2,2,1.16,1646,1.294,0.176
1,0,3,3,2,1,1,4,2,0,1.26,1693,1.286,0.671
1,1,1,3,1,2,1,3,1,2,0.781,1336,0.211,0.0
1,1,3,2,2,4,1,5,1,3,0.759,1289,0.727,0.044
1,1,3,2,1,4,1,4,1,0,0.505,1416,0.778,0.079
1,0,0,3,2,1,1,3,1,2,0.75,1885,0.545,0.0
1,1,1,4,2,3,1,3,3,2,0.76,1744,0.606,0.752
1,1,4,2,2,4,1,6,1,0,1.519,1922,0.655,0.194
1,1,1,3,1,2,1,6,3,3,0.591,1300,0.8,0.221
1,0,1,3,2,1,1,6,2,3,0.891,1439,1.053,0.476
1,1,1,2,2,4,1,3,3,3,1.566,1917,0.941,0.048
1,0,3,3,3,2,1,4,1,3,0.696,1391,0.625,0.179
1,0,5,3,1,1,1,4,1,0,0.938,1246,0.824,0.911
1,1,3,1,2,3,1,5,3,2,1.08,1248,0.688,0.06
1,0,1,2,2,1,1,3,2,0,0.665,1936,1.316,0.78
1,1,4,5,1,4,1,3,3,2,1.06,2375,0.575,0.35
1,1,3,5,2,3,1,3,1,2,0.484,1238,1.083,0.636
1,0,1,2,2,1,1,5,3,1,1.346,1626,0.864,0.632
1,0,2,1,1,1,1,5,3,3,0.479,1204,0.333,0.0
1,1,2,2,1,3,1,3,2,0,1.138,1612,0.88,0.24
1,0,4,4,1,2,1,4,2,3,0.638,1071,1.0,0.698
1,1,2,4,2,3,1,3,3,3,0.68,1378,0.762,0.877
